"ID","VALUE"
"ID_YES","Đúng"
"ID_NO","Không"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","tn."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Chào mừng trở lại!"
"ID_U_ABSENT","Bạn đã vắng mặt trong"
"ID_U_OFFLINE_COLLECTED","Trong thời gian này, các công trình của bạn đã kiếm được"
"ID_GET","Lấy"
"ID_WATCH","Xem"
"ID_TAB_RESEARCH","Ngh.Cứu"
"ID_TAB_RESEARCH_FULL","Ngh.Cứu"
"ID_TAB_RESEARCH_DESC","Hãy bắt đầu nghiên cứu để nhận thưởng"
"ID_TAB_UPGRADE","Nâng Cấp"
"ID_TAB_QUESTS","Nhiệm Vụ"
"ID_TAB_SHOP","Cửa Hàng"
"ID_TAB_TREE","Cây"
"ID_SETTINGS","Thiết lập"
"ID_LANGUAGE","Ngôn ngữ"
"ID_LANGUAGE_TITLE","Tiếng Việt"
"ID_MUSIC","Nhạc"
"ID_SFX","Âm Thanh"
"ID_PRIVACY_POLICY","Chính Sách Bảo Mật"
"ID_SEC","giây"
"ID_QUESTS","Nhiệm Vụ"
"ID_QUESTS_RENO_DESCR","Hãy hoàn thành {0} nhiệm vụ để mở khóa khả năng hiện đại hóa"
"ID_Q_COLLECT_SOFT","Thu thập {0} năng lượng sạch"
"ID_Q_COLLECT_INCOME","Thu thập thu nhập từ công trình {0} lần"
"ID_Q_OPEN_CASES","Mở {0} va li"
"ID_Q_USE_TBOOSTER","Sử dụng cường hóa thời gian"
"ID_Q_USE_TBOOSTER_CERTAIN","Cường hóa thời gian {0} giờ"
"ID_Q_OPEN_CASE_CERTAIN","Mở {0}"
"ID_Q_START_ECOBOOST","Sử dụng Cường Hóa Xanh"
"ID_Q_UPGRADE_IOBJECT","Nâng cấp {0} (#{1}) lên cấp {2}"
"ID_Q_UPGRADE_PERS","Nâng cấp nhân vật bất kỳ"
"ID_Q_BUILD_IO","Xây dựng {0} (#{1})"
"ID_Q_COLLECT_INCOME_CERTAIN","Thu thập thu nhập từ công trình {0} {1} lần"
"ID_Q_COLLECT_SOFT_TOTAL","Thu thập {0} năng lượng sạch"
"ID_Q_UPGTADE_PERS_CERTAIN","Nâng cấp {0}"
"ID_Q_COLLECT_AIRDROPS","Thu thập phần thưởng khinh khí cầu {0} lần"
"ID_Q_LAUNCH_RESEARCH","Bắt đầu nghiên cứu {0} lần"
"ID_Q_USE_COFFEE","Sử dụng Cường Hóa Cà Phê"
"ID_CASES_TITLE","VA LI"
"ID_CASE_SIMPLE","Va Li Đơn Giản"
"ID_CASE_STEEL","Va Li Thép"
"ID_CASE_GOLD","Va Li Vàng"
"ID_GEMS_TITLE","NGỌC"
"ID_GEMS_PACK_1","Ít Ngọc"
"ID_GEMS_PACK_2","Nắm Ngọc"
"ID_GEMS_PACK_3","Túi Ngọc"
"ID_GEMS_PACK_4","Rương Ngọc"
"ID_GEMS_PACK_5","Xe Ngọc"
"ID_GEMS_PACK_6","Núi Ngọc"
"ID_BOOSTERS_TITLE","CƯỜNG HÓA THỜI GIAN"
"ID_BOOSTER_DESC_1","Tua nhanh thời gian {0} giờ"
"ID_BOOSTER_DESC_2","Tua nhanh thời gian {0} giờ"
"ID_ECOBOOST_TITLE","Cường Hóa xanh"
"ID_ECOBOOST_DESC","Tăng x2 thu nhập trong 4 giờ. Hiệu ứng mở rộng đến 12 giờ."
"ID_COFFEE_BOOST","Cường Hóa Cà Phê"
"ID_COFFEE_POP_TITLE","Cốc cà phê"
"ID_COFFEE_POP_DESC","Tất cả công trình được tăng tốc {0} giây"
"ID_DRINK","Uống"
"ID_TIME","{0} giờ {1} phút"
"ID_IO_TITLE_1","Tình nguyện viên dọn vệ sinh"
"ID_IO_TITLE_2","Máy xúc"
"ID_IO_TITLE_3","Lọc rác sông suối"
"ID_IO_TITLE_4","Máy phân loại"
"ID_IO_TITLE_5","Phân loại rác thải"
"ID_IO_TITLE_6","Rừng"
"ID_IO_TITLE_7","Máy nung thủy tinh"
"ID_IO_TITLE_8","Nhà kính"
"ID_IO_TITLE_9","Máy ép ô tô"
"ID_IO_TITLE_10","Máy phát điện bằng gió"
"ID_IO_TITLE_11","Máy khử mùi không khí"
"ID_IO_TITLE_12","Khu bảo tồn thiên nhiên"
"ID_IO_TITLE_13","Máy nghiền cao su"
"ID_IO_TITLE_14","Nhà máy nung"
"ID_IO_TITLE_15","Máy in 3D"
"ID_IO_TITLE_16","Nhà để xe điện"
"ID_IO_TITLE_17","Trang trại biển"
"ID_IO_TITLE_18","Đội vệ sinh bay"
"ID_IO_TITLE_19","Cơ sở gây giống cá"
"ID_IO_TITLE_20","Rặng san hô nhân tạo"
"ID_IO_TITLE_21","Quả lắc điện"
"ID_IO_TITLE_22","Công viên"
"ID_IO_TITLE_23","Hồ"
"ID_IO_TITLE_24","Rừng mùa thu"
"ID_IO_TITLE_25","Trạm kiểm lâm"
"ID_IO_TITLE_26","Nhà ga tàu một ray"
"ID_IO_TITLE_27","Đảo băng"
"ID_IO_TITLE_28","Núi băng trôi"
"ID_IO_DESC_1","Thật là một ngày đẹp trời, thích hợp để biến thế giới thành nơi tốt đẹp hơn! Vạn sử khởi đầu nan!
 Ối, bạn còn sót cái vỏ kẹo rồi. Ở kia kìa."
"ID_IO_DESC_2","Trang thiết bị công nghệ sẽ giúp chúng ta thu gom rác thải nhanh hơn nhiều.
 Máy xúc cũng là thứ thân thiện môi trường vì có chân đạp mà."
"ID_IO_DESC_3","Nhờ có công tác dọn vệ sinh, cá trên trên con sông này không còn con nào có xúc tu nữa."
"ID_IO_DESC_4","Giai đoạn rất quan trọng của quá trình tái chế. Tách những thứ có giá trị ra khỏi những thứ không giá trị.
 Ồ! Có đồng xu kìa!"
"ID_IO_DESC_5","Thủy tinh — để riêng, giấy — để riêng, nhựa — để riêng."
"ID_IO_DESC_6","Ngôi nhà cho động vật, oxy cho con người."
"ID_IO_DESC_7","Nung chảy thủy tinh cũ để lấy thủy tinh mới. Quá trình này có thể lặp đi lặp lại."
"ID_IO_DESC_8","Trồng các loại trái cây và rau củ quả tươi cả năm, ở trang trại ngay bên cạnh."
"ID_IO_DESC_9","Biến xe hơi thành những khối lập phương tinh xảo. Để làm gì? Làm được thì cứ làm thôi. Và còn vì việc này giúp công tác tái chế dễ dàng hơn nữa."
"ID_IO_DESC_10","Tạo ra điện từ không khí theo đúng nghĩa đen!"
"ID_IO_DESC_11","Lọc các tạp chất có hại ra khỏi không khí! Không phải như bạn nghĩ đâu."
"ID_IO_DESC_12","Các loài bị đe dọa sẽ bớt bị đe họa hơn."
"ID_IO_DESC_13","Bạn có thể chế tạo ra rất nhiều thứ hữu ích từ lốp xe cũ. Không hay bằng đốt đi nhưng thực dụng hơn nhiều."
"ID_IO_DESC_14","Bạn có thể làm ra chảo rán mới từ chảo rán cũ!"
"ID_IO_DESC_15","Đống nhựa bị bỏ đi không còn là rác thải nữa mà đã trở thành nguồn tài nguyên quý giá."
"ID_IO_DESC_16","Xe điện là phương tiện vận chuyển của tương lai."
"ID_IO_DESC_17","Tốt cho con người, môi trường và sinh vật biển và khí hậu."
"ID_IO_DESC_18","Cách hiệu quả nhất để vệ sinh cả biển rác thải."
"ID_IO_DESC_19","Quần thể động vật dưới nước cũng cần được khôi phục."
"ID_IO_DESC_20","Để làm gì ư? Để các cư dân dưới nước có nơi sinh sống và lương thực để ăn!"
"ID_IO_DESC_21","Cơ cấu đơn giản để lấy điện trực tiếp từ sóng biển."
"ID_IO_DESC_22","Một công trình thiên nhiên ở ngay trung tâm thành phố! Không khí trong lành và không gian rộng rãi để đi dạo cùng thú cưng!"
"ID_IO_DESC_23","Hồ thì nhỏ nhưng sự đa dạng của động thực vật thì rất lớn! Bạn có muốn cho thiên nga ăn không?"
"ID_IO_DESC_24","Các loài động vật sống trong rừng được cứu khỏi đám cháy, đã đến lúc thu gom nấm để dự trữ cho mùa đông."
"ID_IO_DESC_25","Nhà được trang bị cột thu lôi nên sẽ không bị cháy rừng khi xảy ra bão có sấm sét nữa."
"ID_IO_DESC_26","Tàu một ray là phương tiện vận chuyển thân thiện với môi trường, rộng rãi và tốc độ cao. Hãy để lại những bụi cây bốc cháy phía sau."
"ID_IO_DESC_27","Loài gấu lại có nhà để sống. Hãy nói ""KHÔNG!"" với tình trạng nóng lên toàn cầu!"
"ID_IO_DESC_28","Núi băng trôi không bị tan chảy nữa. Diện tích sông băng ở châu Nam Cực càng lớn thì nhiệt độ khắp thế giới càng ổn định."
"ID_BUILD","Xây Dựng"
"ID_ERROR","Lỗi"
"ID_ERROR_AD_DESC","Hãy thử lại sau :("
"ID_OK","OK"
"ID_DAILY_REWARDS_TITLE","Phần Thưởng Hàng Ngày"
